,,Subject,,,295,
,,Protocol,,,IRTT_long,
,,Type,,,Master,
,,Channel,,,4,
,,Master,,,,
,,Date,,,2023-07-20,
,,Time,,,09:56:17,765,
,,Clock,,,5,
,,Time Warp,,,1x,
0,0,000,Start,,,,
1,0,000,Entry,0,Ready,,
2,0,005,Exit,0,Ready,Time,
3,0,005,Entry,1,MagEntry,,
4,0,005,Reg,2,ComptNbessai,    1,000,
5,0,005,Reg,12,Accuracy,      NaN,
6,0,005,Reg,13,Omission,    0,000,
7,5,460,Input,1,On1A1,,
8,5,460,Exit,1,MagEntry,1,
9,5,460,Entry,2,ITI2sec,,
10,5,800,Input,33,Off1A1,,
11,6,460,Exit,2,ITI2sec,Time,
12,6,460,List,,ITItime,   19,000,
13,6,460,Entry,19,sec5,,
14,6,460,Reg,18,stage1,    1,000,
15,9,955,Input,3,On1A3,,
16,9,955,Input,4,On1A4,,
17,9,955,Exit,19,sec5,3,
18,9,955,Entry,20,prematuresec5,,
19,9,955,Reg,14,premsec1,    1,000,
20,9,960,Exit,20,prematuresec5,Time,
21,9,960,Entry,4,Premature,,
22,9,960,Reg,5,ComptPremat,    1,000,
23,9,965,Exit,4,Premature,Time,
24,9,965,Entry,5,TimeOut,,
25,10,300,Input,35,Off1A3,,
26,10,300,Input,36,Off1A4,,
27,14,610,Input,3,On1A3,,
28,14,610,Input,4,On1A4,,
29,14,955,Input,35,Off1A3,,
30,14,955,Input,36,Off1A4,,
31,14,966,Exit,5,TimeOut,Time,
32,14,966,Entry,1,MagEntry,,
33,14,966,Reg,2,ComptNbessai,    2,000,
34,14,966,Reg,12,Accuracy,      NaN,
35,14,966,Reg,13,Omission,    0,000,
36,20,880,Input,1,On1A1,,
37,20,880,Exit,1,MagEntry,1,
38,20,880,Entry,2,ITI2sec,,
39,21,880,Exit,2,ITI2sec,Time,
40,21,880,List,,ITItime,   25,000,
41,21,880,Entry,25,sec4,,
42,21,880,Reg,21,stage4,    1,000,
43,22,860,Input,33,Off1A1,,
44,25,885,Exit,25,sec4,Time,
45,25,885,Entry,3,RandomHole,,
46,26,885,Exit,3,RandomHole,Time,
47,26,885,List,,Pseudo1a5,   12,000,
48,26,885,Entry,12,hole4,,
49,26,885,Reg,11,HoleNumber,    4,000,
50,27,885,Exit,12,hole4,Time,
51,27,885,Entry,13,Holdhole4,,
52,28,885,Exit,13,Holdhole4,Time,
53,28,885,Entry,16,Omission,,
54,28,885,Reg,1,ComptOmision,    1,000,
55,28,885,Reg,8,Omision,    1,000,
56,28,895,Exit,16,Omission,Time,
57,28,895,Entry,5,TimeOut,,
58,28,970,Input,2,On1A2,,
59,28,970,Input,3,On1A3,,
60,29,310,Input,34,Off1A2,,
61,29,310,Input,35,Off1A3,,
62,33,900,Exit,5,TimeOut,Time,
63,33,900,Entry,1,MagEntry,,
64,33,900,Reg,2,ComptNbessai,    3,000,
65,33,900,Reg,12,Accuracy,      NaN,
66,33,900,Reg,13,Omission,   33,333,
67,47,535,Input,1,On1A1,,
68,47,535,Exit,1,MagEntry,1,
69,47,535,Entry,2,ITI2sec,,
70,47,875,Input,33,Off1A1,,
71,48,535,Exit,2,ITI2sec,Time,
72,48,535,List,,ITItime,   21,000,
73,48,535,Entry,21,sec2,,
74,48,535,Reg,19,stage2,    1,000,
75,54,541,Exit,21,sec2,Time,
76,54,541,Entry,3,RandomHole,,
77,55,200,Input,3,On1A3,,
78,55,200,Input,4,On1A4,,
79,55,545,Input,35,Off1A3,,
80,55,545,Input,36,Off1A4,,
81,55,545,Exit,3,RandomHole,Time,
82,55,545,List,,Pseudo1a5,   14,000,
83,55,545,Entry,14,hole5,,
84,55,545,Reg,11,HoleNumber,    5,000,
85,55,900,Input,3,On1A3,,
86,55,900,Input,4,On1A4,,
87,55,900,Exit,14,hole5,4,
88,55,900,Entry,17,CorrectResp,,
89,55,900,Reg,3,ComptCR,    1,000,
90,55,900,Reg,6,Reward,    1,000,
91,55,900,Reg,7,CptReward,    1,000,
92,55,900,Reg,1,ComptOmision,    0,000,
93,55,905,Exit,17,CorrectResp,Time,
94,55,905,Entry,1,MagEntry,,
95,55,905,Reg,2,ComptNbessai,    4,000,
96,55,905,Reg,12,Accuracy,  100,000,
97,55,905,Reg,13,Omission,   25,000,
98,56,245,Input,35,Off1A3,,
99,56,245,Input,36,Off1A4,,
100,56,935,Input,1,On1A1,,
101,56,935,Exit,1,MagEntry,1,
102,56,935,Entry,2,ITI2sec,,
103,57,935,Exit,2,ITI2sec,Time,
104,57,935,List,,ITItime,   23,000,
105,57,935,Entry,23,sec3,,
106,57,935,Reg,20,stage3,    1,000,
107,58,260,Input,33,Off1A1,,
108,61,900,Input,3,On1A3,,
109,61,900,Input,4,On1A4,,
110,61,900,Exit,23,sec3,3,
111,61,900,Entry,24,prematuresec7,,
112,61,900,Reg,16,premsec3,    1,000,
113,61,910,Exit,24,prematuresec7,Time,
114,61,910,Entry,4,Premature,,
115,61,910,Reg,5,ComptPremat,    2,000,
116,61,916,Exit,4,Premature,Time,
117,61,916,Entry,5,TimeOut,,
118,62,245,Input,35,Off1A3,,
119,62,245,Input,36,Off1A4,,
120,65,615,Input,2,On1A2,,
121,65,955,Input,34,Off1A2,,
122,66,920,Exit,5,TimeOut,Time,
123,66,920,Entry,1,MagEntry,,
124,66,920,Reg,2,ComptNbessai,    5,000,
125,66,920,Reg,12,Accuracy,  100,000,
126,66,920,Reg,13,Omission,   20,000,
127,67,250,Input,3,On1A3,,
128,67,250,Input,4,On1A4,,
129,67,590,Input,35,Off1A3,,
130,67,590,Input,36,Off1A4,,
131,68,205,Input,1,On1A1,,
132,68,205,Exit,1,MagEntry,1,
133,68,205,Entry,2,ITI2sec,,
134,69,200,Input,33,Off1A1,,
135,69,205,Exit,2,ITI2sec,Time,
136,69,205,List,,ITItime,   19,000,
137,69,205,Entry,19,sec5,,
138,69,205,Reg,18,stage1,    2,000,
139,72,845,Input,3,On1A3,,
140,72,845,Input,4,On1A4,,
141,72,845,Exit,19,sec5,3,
142,72,845,Entry,20,prematuresec5,,
143,72,845,Reg,14,premsec1,    2,000,
144,72,850,Exit,20,prematuresec5,Time,
145,72,850,Entry,4,Premature,,
146,72,850,Reg,5,ComptPremat,    3,000,
147,72,855,Exit,4,Premature,Time,
148,72,855,Entry,5,TimeOut,,
149,73,185,Input,35,Off1A3,,
150,73,185,Input,36,Off1A4,,
151,76,605,Input,3,On1A3,,
152,76,605,Input,4,On1A4,,
153,76,945,Input,35,Off1A3,,
154,76,945,Input,36,Off1A4,,
155,77,860,Exit,5,TimeOut,Time,
156,77,860,Entry,1,MagEntry,,
157,77,860,Reg,2,ComptNbessai,    6,000,
158,77,860,Reg,12,Accuracy,  100,000,
159,77,860,Reg,13,Omission,   16,667,
160,80,450,Input,3,On1A3,,
161,80,780,Input,2,On1A2,,
162,80,790,Input,35,Off1A3,,
163,81,120,Input,34,Off1A2,,
164,83,155,Input,1,On1A1,,
165,83,155,Exit,1,MagEntry,1,
166,83,155,Entry,2,ITI2sec,,
167,83,500,Input,33,Off1A1,,
168,84,155,Exit,2,ITI2sec,Time,
169,84,155,List,,ITItime,   23,000,
170,84,155,Entry,23,sec3,,
171,84,155,Reg,20,stage3,    2,000,
172,91,160,Exit,23,sec3,Time,
173,91,160,Entry,3,RandomHole,,
174,91,755,Input,3,On1A3,,
175,91,755,Input,4,On1A4,,
176,92,100,Input,35,Off1A3,,
177,92,100,Input,36,Off1A4,,
178,92,160,Exit,3,RandomHole,Time,
179,92,160,List,,Pseudo1a5,   10,000,
180,92,160,Entry,10,hole3,,
181,92,160,Reg,11,HoleNumber,    3,000,
182,92,780,Input,4,On1A4,,
183,92,780,Exit,10,hole3,4,
184,92,780,Entry,17,CorrectResp,,
185,92,780,Reg,3,ComptCR,    2,000,
186,92,780,Reg,6,Reward,    2,000,
187,92,780,Reg,7,CptReward,    2,000,
188,92,780,Reg,1,ComptOmision,    0,000,
189,92,785,Exit,17,CorrectResp,Time,
190,92,785,Entry,1,MagEntry,,
191,92,785,Reg,2,ComptNbessai,    7,000,
192,92,785,Reg,12,Accuracy,  100,000,
193,92,785,Reg,13,Omission,   14,286,
194,93,120,Input,36,Off1A4,,
195,93,610,Input,1,On1A1,,
196,93,610,Exit,1,MagEntry,1,
197,93,610,Entry,2,ITI2sec,,
198,94,605,Input,33,Off1A1,,
199,94,610,Exit,2,ITI2sec,Time,
200,94,610,List,,ITItime,   21,000,
201,94,610,Entry,21,sec2,,
202,94,610,Reg,19,stage2,    2,000,
203,96,970,Input,3,On1A3,,
204,96,970,Input,4,On1A4,,
205,96,970,Exit,21,sec2,3,
206,96,970,Entry,22,prematuresec6,,
207,96,970,Reg,15,premsec2,    1,000,
208,96,975,Exit,22,prematuresec6,Time,
209,96,975,Entry,4,Premature,,
210,96,975,Reg,5,ComptPremat,    4,000,
211,96,980,Exit,4,Premature,Time,
212,96,980,Entry,5,TimeOut,,
213,97,640,Input,35,Off1A3,,
214,97,640,Input,36,Off1A4,,
215,101,985,Exit,5,TimeOut,Time,
216,101,985,Entry,1,MagEntry,,
217,101,985,Reg,2,ComptNbessai,    8,000,
218,101,985,Reg,12,Accuracy,  100,000,
219,101,985,Reg,13,Omission,   12,500,
220,106,645,Input,1,On1A1,,
221,106,645,Exit,1,MagEntry,1,
222,106,645,Entry,2,ITI2sec,,
223,107,640,Input,33,Off1A1,,
224,107,645,Exit,2,ITI2sec,Time,
225,107,645,List,,ITItime,   25,000,
226,107,645,Entry,25,sec4,,
227,107,645,Reg,21,stage4,    2,000,
228,110,111,Input,3,On1A3,,
229,110,111,Input,4,On1A4,,
230,110,111,Exit,25,sec4,3,
231,110,111,Entry,26,prematuresec8,,
232,110,111,Reg,17,premsec4,    1,000,
233,110,115,Exit,26,prematuresec8,Time,
234,110,115,Entry,4,Premature,,
235,110,115,Reg,5,ComptPremat,    5,000,
236,110,120,Exit,4,Premature,Time,
237,110,120,Entry,5,TimeOut,,
238,110,455,Input,35,Off1A3,,
239,110,455,Input,36,Off1A4,,
240,114,435,Input,3,On1A3,,
241,114,435,Input,4,On1A4,,
242,114,775,Input,35,Off1A3,,
243,114,775,Input,36,Off1A4,,
244,115,125,Exit,5,TimeOut,Time,
245,115,125,Entry,1,MagEntry,,
246,115,125,Reg,2,ComptNbessai,    9,000,
247,115,125,Reg,12,Accuracy,  100,000,
248,115,125,Reg,13,Omission,   11,111,
249,140,520,Input,1,On1A1,,
250,140,520,Exit,1,MagEntry,1,
251,140,520,Entry,2,ITI2sec,,
252,140,865,Input,33,Off1A1,,
253,141,520,Exit,2,ITI2sec,Time,
254,141,520,List,,ITItime,   19,000,
255,141,520,Entry,19,sec5,,
256,141,520,Reg,18,stage1,    3,000,
257,146,526,Exit,19,sec5,Time,
258,146,526,Entry,3,RandomHole,,
259,146,925,Input,2,On1A2,,
260,147,270,Input,34,Off1A2,,
261,147,530,Exit,3,RandomHole,Time,
262,147,530,List,,Pseudo1a5,    8,000,
263,147,530,Entry,8,hole2,,
264,147,530,Reg,11,HoleNumber,    2,000,
265,147,920,Input,4,On1A4,,
266,147,920,Exit,8,hole2,4,
267,147,920,Entry,18,IncorrectResp,,
268,147,920,Reg,4,ComptIncR,    1,000,
269,147,920,Reg,1,ComptOmision,    0,000,
270,147,930,Exit,18,IncorrectResp,Time,
271,147,930,Entry,5,TimeOut,,
272,148,260,Input,36,Off1A4,,
273,148,310,Input,2,On1A2,,
274,148,655,Input,34,Off1A2,,
275,150,770,Input,1,On1A1,,
276,151,110,Input,33,Off1A1,,
277,151,340,Input,1,On1A1,,
278,151,680,Input,33,Off1A1,,
279,152,935,Exit,5,TimeOut,Time,
280,152,935,Entry,1,MagEntry,,
281,152,935,Reg,2,ComptNbessai,   10,000,
282,152,935,Reg,12,Accuracy,   66,667,
283,152,935,Reg,13,Omission,   10,000,
284,154,745,Input,1,On1A1,,
285,154,745,Exit,1,MagEntry,1,
286,154,745,Entry,2,ITI2sec,,
287,155,090,Input,33,Off1A1,,
288,155,745,Exit,2,ITI2sec,Time,
289,155,745,List,,ITItime,   25,000,
290,155,745,Entry,25,sec4,,
291,155,745,Reg,21,stage4,    3,000,
292,158,895,Input,3,On1A3,,
293,158,895,Input,4,On1A4,,
294,158,895,Exit,25,sec4,3,
295,158,895,Entry,26,prematuresec8,,
296,158,895,Reg,17,premsec4,    2,000,
297,158,900,Exit,26,prematuresec8,Time,
298,158,900,Entry,4,Premature,,
299,158,900,Reg,5,ComptPremat,    6,000,
300,158,905,Exit,4,Premature,Time,
301,158,905,Entry,5,TimeOut,,
302,159,240,Input,35,Off1A3,,
303,159,240,Input,36,Off1A4,,
304,159,950,Input,2,On1A2,,
305,159,950,Input,3,On1A3,,
306,160,295,Input,34,Off1A2,,
307,160,295,Input,35,Off1A3,,
308,160,320,Input,4,On1A4,,
309,160,660,Input,36,Off1A4,,
310,163,910,Exit,5,TimeOut,Time,
311,163,910,Entry,1,MagEntry,,
312,163,910,Reg,2,ComptNbessai,   11,000,
313,163,910,Reg,12,Accuracy,   66,667,
314,163,910,Reg,13,Omission,    9,091,
315,178,035,Input,1,On1A1,,
316,178,035,Exit,1,MagEntry,1,
317,178,035,Entry,2,ITI2sec,,
318,178,380,Input,33,Off1A1,,
319,179,035,Exit,2,ITI2sec,Time,
320,179,035,List,,ITItime,   21,000,
321,179,035,Entry,21,sec2,,
322,179,035,Reg,19,stage2,    3,000,
323,181,350,Input,3,On1A3,,
324,181,350,Input,4,On1A4,,
325,181,350,Exit,21,sec2,3,
326,181,350,Entry,22,prematuresec6,,
327,181,350,Reg,15,premsec2,    2,000,
328,181,355,Exit,22,prematuresec6,Time,
329,181,355,Entry,4,Premature,,
330,181,355,Reg,5,ComptPremat,    7,000,
331,181,360,Exit,4,Premature,Time,
332,181,360,Entry,5,TimeOut,,
333,181,690,Input,35,Off1A3,,
334,181,690,Input,36,Off1A4,,
335,186,150,Input,1,On1A1,,
336,186,365,Exit,5,TimeOut,Time,
337,186,365,Entry,1,MagEntry,,
338,186,365,Reg,2,ComptNbessai,   12,000,
339,186,365,Reg,12,Accuracy,   66,667,
